C; Contents; F; NM; Name; P; Popup; T; Type; Number; IRT; State; StateModel
[Defect] [1.0, 1.0, 0.0]; Unmarked set by Davis Zhou; 30; hIPYR5VwKTBUo4k4olnVjD; /Comment; 3545 0 R; 4119 0 R; Davis Zhou; /Annot; 4118; null; Unmarked; Marked
[Defect] [1.0, 1.0, 0.0]; Should be TC 3.Note: this fails checklist 45.; 28; 1a9e49e9-e5ce-424d-bfd2-09ed4c6e6e4b; /Comment; 4193 0 R; 6182 0 R; E461456; /Annot; 6181; null; ; 
[Defect] [1.0, 1.0, 0.0]; ND set by E461456; 30; 737023fb-77fa-47a0-aa70-05dcd67e4243; /Comment; 4193 0 R; 6338 0 R; E461456; /Annot; 6337; 6181 0 R; ND; DefectType
[Defect] [1.0, 1.0, 0.0]; In Work set by E461456; 30; 25dd6267-3665-4566-9d63-02440c090d77; /Comment; 4193 0 R; 6340 0 R; E461456; /Annot; 6339; 6337 0 R; In Work; Resolution Status
[Defect] [1.0, 1.0, 0.0]; Minor set by E461456; 30; 8a14df2e-ed29-411b-a585-024c84db67cc; /Comment; 4193 0 R; 6342 0 R; E461456; /Annot; 6341; 6339 0 R; Minor; DefectSeverity
[Defect] [1.0, 1.0, 0.0]; Corrected the test case and raised AO forPERF_SRD_6121 ; 28; 89ea17f0-7e8b-471e-a573-2f1a876d7609; /Comment; 4193 0 R; 6344 0 R; Louis Lu; /Annot; 6343; 6181 0 R; ; 
[Defect] [1.0, 1.0, 0.0]; Accepted set by E461456; 30; 3e37ee83-a2c0-49c9-b272-8d8f40a8776d; /Comment; 4193 0 R; 6346 0 R; E461456; /Annot; 6345; 6341 0 R; Accepted; Is Defect State
[Defect] [1.0, 1.0, 0.0]; Work Completed set by E461456; 30; 0790aff3-d932-4ca8-8daf-801967832791; /Comment; 4193 0 R; 6348 0 R; E461456; /Annot; 6347; 6345 0 R; Work Completed; Resolution Status
[Defect] [1.0, 1.0, 0.0]; Verified Complete set by E461456; 30; f464c93e-3695-495a-9699-10386203e3db; /Comment; 4193 0 R; 6350 0 R; E461456; /Annot; 6349; 6347 0 R; Verified Complete; Resolution Status
[Defect] [1.0, 1.0, 0.0]; Work Completed set by E461456; 30; 98dce024-868d-468a-9155-583e29e2ea91; /Comment; 4193 0 R; 6352 0 R; E461456; /Annot; 6351; 6349 0 R; Work Completed; Resolution Status
